nombramiento,PLAZA,IdPuesto,ClavePuesto,Puesto,,,,,,,
237,ECB-06-02-002-019-CF-00023,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-002-036-S0-00015,29,37
311,ECB-08-03-002-012-CF-00001,96,95,INGENIERO EN SISTEMAS,,,,,ECB-01-03-002-036-S0-00026,30,38
319,ECB-08-03-002-015-CF-00002,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-002-036-S0-00033,31,39
322,ECB-08-03-002-019-CF-00002,69,68,AUXILIAR ACADEMICO,,,,,ECB-01-03-003-150-EH-00004,32,42
397,ECB-10-02-002-019-CF-00007,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-003-150-EH-00023,33,43
1843,ECB-99-02-002-014-CF-00025,21,20,ANALISTA EDUCATIVO,,,,,ECB-01-03-003-156-EH-00017,34,46
1752,ECB-99-02-001-011-CF-00006,48,47,JEFA DE MATERIA,,,,,ECB-01-03-003-156-EH-00011,35,45
442,ECB-12-02-002-019-CF-00014,89,88,ENCARGADA DE ORDEN,,,,,ECB-01-03-003-151-EH-00014,36,48
486,ECB-13-02-002-014-CF-00010,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-01-03-003-151-EH-00015,37,49
177,ECB-05-02-002-019-CF-00011,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-003-151-EH-00010,38,47
516,ECB-14-02-002-019-CF-00018,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-01-03-003-151-EH-00030,39,50
519,ECB-14-02-002-028-CF-00001,81,80,AUXILIAR SUBDIRECTOR ADMINISTRATIVO,,,,,ECB-01-03-003-157-EH-00005,40,53
537,ECB-15-02-002-019-CF-00006,81,80,AUXILIAR SUBDIRECTOR ADMINISTRATIVO,,,,,ECB-01-03-003-157-EH-00004,41,52
534,ECB-15-02-002-012-CF-00007,96,95,INGENIERO EN SISTEMAS,,,,,ECB-01-03-003-159-EH-00026,42,3
555,ECB-16-02-002-019-CF-00016,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-003-159-EH-00023,43,1
554,ECB-16-02-002-019-CF-00024,89,88,ENCARGADA DE ORDEN,,,,,ECB-01-03-003-159-EH-00024,44,2
553,ECB-16-02-002-018-CF-00002,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-003-160-EH-00001,45,4
670,ECB-19-02-002-019-CF-00012,31,30,AUXILIAR ADMINISTRATIVA,,,,,ECB-01-03-003-143-EH-00001,46,6
1751,ECB-99-02-001-011-CF-00007,48,47,JEFA DE MATERIA,,,,,ECB-01-03-003-149-EH-00001,47,5
718,ECB-21-03-002-012-CF-00002,97,96,INGENIERA EN SISTEMAS,,,,,ECB-02-02-002-012-CF-00046,48,91
746,ECB-22-02-002-012-CF-00010,97,96,INGENIERA EN SISTEMAS,,,,,ECB-02-02-002-041-CF-00002,49,92
781,ECB-24-02-002-019-CF-00015,83,82,AUXILIAR DEL AREA ADMINISTRATIVA,,,,,ECB-02-02-002-019-CF-00102,50,95
#N/A,ECB-24-02-002-021-S-00007,89,88,ENCARGADA DE ORDEN,,,,,ECB-02-02-002-021-S1-00043,51,68
#N/A,ECB-25-02-002-021-S-00001,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-02-02-002-021-S1-00051,52,69
915,ECB-30-02-002-012-CF-00014,96,95,INGENIERO EN SISTEMAS,,,,,ECB-02-02-002-022-CF-00011,53,71
1281,ECB-42-03-002-041-CF-00005,31,30,AUXILIAR ADMINISTRATIVA,,,,,ECB-02-02-002-028-CF-00003,54,66
979,ECB-32-02-002-015-CF-00018,70,69,AUXILIAR ACADEMICA,,,,,ECB-02-02-002-046-CF-00015,55,67
972,ECB-32-02-002-014-CF-00012,100,99,RESPONSABLE DE LABORATORIO,,,,,ECB-02-02-002-046-CF-00034,56,64
1171,ECB-37-02-002-014-CF-00015,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-02-02-002-037-CF-00026,57,65
1030,ECB-34-03-002-041-CF-00004,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-02-02-002-037-S1-00010,58,62
430,ECB-12-02-002-012-CF-00016,96,95,INGENIERO EN SISTEMAS,,,,,ECB-02-02-003-142-EH-00024,59,57
815,ECB-26-03-002-012-CF-00003,93,92,ENCARGADA DEL CENTRO DE COMPUTO,,,,,ECB-02-02-003-150-EH-00011,60,74
1073,ECB-35-02-002-012-CF-00018,92,91,ENCARGADO DEL CENTRO DE COMPUTO,,,,,ECB-02-02-003-150-EH-00022,61,75
395,ECB-10-02-002-014-CF-00056,104,103,SECRETARIO DE CONTROL ESCOLAR,,,,,ECB-02-02-003-156-EH-00004,62,76
172,ECB-05-02-002-018-CF-00004,70,69,AUXILIAR ACADEMICA,,,,,ECB-02-02-003-156-EH-00012,63,78
1803,ECB-99-02-002-041-CF-00029,20,19,ANALISTA EDUCATIVA,,,,,ECB-02-02-003-156-EH-00005,64,77
394,ECB-10-02-002-012-CF-00020,92,91,ENCARGADO DEL CENTRO DE COMPUTO,,,,,ECB-02-02-003-145-EH-00056,65,81
1229,ECB-39-02-002-012-CF-00019,97,96,INGENIERA EN SISTEMAS,,,,,ECB-02-02-003-157-EH-00027,66,82
970,ECB-32-02-002-012-CF-00022,93,92,ENCARGADA DEL CENTRO DE COMPUTO,,,,,ECB-02-02-003-158-EH-00001,67,83
978,ECB-32-02-002-015-CF-00038,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-99-02-002-015-CF-00049,1879,2810
1206,ECB-38-02-002-014-CF-00018,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-02-02-003-159-EH-00039,68,86
1172,ECB-37-02-002-014-CF-00019,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-03-02-002-037-CF-00066,90,129
1151,ECB-36-02-002-028-CF-00008,70,69,AUXILIAR ACADEMICA,,,,,ECB-02-02-003-159-EH-00046,69,87
1249,ECB-40-02-002-028-CF-00009,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-02-02-003-159-EH-00004,70,85
1245,ECB-40-02-002-012-CF-00024,95,94,ENCARGADA DEL LABORATORIO DE INFORMATICA,,,,,ECB-03-02-002-037-S1-00005,91,125
668,ECB-19-02-002-015-CF-00045,89,88,ENCARGADA DE ORDEN,,,,,ECB-02-02-003-160-EH-00011,71,72
1474,ECB-51-02-002-019-CF-00031,89,88,ENCARGADA DE ORDEN,,,,,ECB-02-02-003-143-EH-00017,72,73
1323,ECB-43-03-002-012-CF-00005,97,96,INGENIERA EN SISTEMAS,,,,,ECB-03-02-002-032-CF-00023,92,128
#N/A,ECB-03-02-002-021-S-00015,89,88,ENCARGADA DE ORDEN,,,,,ECB-03-02-002-032-CF-00020,93,127
1234,ECB-39-02-002-028-CF-00013,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-03-02-002-041-CF-00057,75,135
#N/A,ECB-43-03-002-021-S-00004,89,88,ENCARGADA DE ORDEN,,,,,ECB-03-02-002-014-CF-00008,76,136
840,ECB-27-02-002-012-CF-00027,96,95,INGENIERO EN SISTEMAS,,,,,ECB-03-02-002-032-CF-00060,94,123
859,ECB-28-02-002-012-CF-00028,96,95,INGENIERO EN SISTEMAS,,,,,ECB-03-02-002-014-CF-00054,77,133
1017,ECB-33-02-002-028-CF-00014,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-03-02-002-014-CF-00066,78,134
1037,ECB-34-03-002-019-CF-00014,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-03-02-002-015-CF-00131,79,113
#N/A,ECB-06-02-002-021-S-00020,89,88,ENCARGADA DE ORDEN,,,,,ECB-03-02-002-018-CF-00016,80,112
284,ECB-07-02-002-015-CF-00050,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-03-02-002-047-T0-00010,96,124
2451,ECB-15-02-001-007-CF-00008,59,58,DIRECTORA DE PLANTEL,,,,,ECB-03-02-002-019-CF-00095,81,100
1416,ECB-47-02-002-012-CF-00031,96,95,INGENIERO EN SISTEMAS,,,,,ECB-03-02-002-021-S1-00015,82,99
#N/A,ECB-09-02-002-021-S-00061,88,87,ENCARGADO DE ORDEN,,,,,ECB-03-02-002-036-CF-00004,97,130
1418,ECB-47-02-002-019-CF-00080,86,85,BIBLIOTECARIA,,,,,ECB-03-02-002-021-S1-00033,83,97
#N/A,ECB-36-02-002-047-T-00002,98,97,RESPONSABLE DE BIBLIOTECA,,,,,ECB-03-02-002-036-CF-00014,98,131
2641,ECB-99-02-001-011-CF-00008,48,47,JEFA DE MATERIA,,,,,ECB-03-02-002-028-CF-00030,85,121
3,ECB-01-03-002-014-CF-00015,78,77,AUXILIAR DE SERVICIOS ESCOLARES,,,,,ECB-03-02-002-031-CF-00018,86,118
2,ECB-01-03-002-014-CF-00026,32,31,AUXILIAR ADMINISTRATIVO,,,,,ECB-03-02-002-036-S0-00001,99,138
867,ECB-28-02-002-019-CF-00044,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-03-02-002-031-CF-00019,87,119
862,ECB-28-02-002-014-CF-00030,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-03-02-002-046-CF-00001,88,120
861,ECB-28-02-002-014-CF-00031,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-03-02-003-142-EH-00007,100,137
1264,ECB-41-02-002-046-CF-00006,106,105,SECRETARIA DE SUBDIRECCION DE PLANTEL,,,,,ECB-03-02-002-037-CF-00008,89,122
1891,ECB-99-02-002-015-CF-00019,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-03-02-003-148-EH-00024,101,114
281,ECB-07-02-002-012-CF-00040,97,96,INGENIERA EN SISTEMAS,,,,,ECB-03-02-003-144-EH-00008,102,115
376,ECB-09-02-002-012-CF-00042,93,92,ENCARGADA DEL CENTRO DE COMPUTO,,,,,ECB-03-02-003-144-EH-00045,103,116
1205,ECB-38-02-002-012-CF-00021,96,95,INGENIERO EN SISTEMAS,,,,,ECB-03-02-003-145-EH-00058,104,111
1148,ECB-36-02-002-015-CF-00084,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-03-02-003-151-EH-00008,105,108
1146,ECB-36-02-002-012-CF-00036,97,96,INGENIERA EN SISTEMAS,,,,,ECB-03-02-003-151-EH-00028,106,109
1152,ECB-36-02-002-046-CF-00002,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-03-02-003-151-EH-00044,107,110
121,ECB-04-03-002-019-CF-00009,70,69,AUXILIAR ACADEMICA,,,,,ECB-03-02-003-158-EH-00002,108,107
134,ECB-04-03-002-046-CF-00001,106,105,SECRETARIA DE SUBDIRECCION DE PLANTEL,,,,,ECB-03-02-003-159-EH-00006,109,106
131,ECB-04-03-002-028-CF-00007,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-03-02-003-149-EH-00001,110,117
285,ECB-07-02-002-015-CF-00041,100,99,RESPONSABLE DE LABORATORIO,,,,,ECB-04-03-002-012-CF-00017,111,190
#N/A,ECB-19-02-002-021-S-00002,89,88,ENCARGADA DE ORDEN,,,,,ECB-04-03-002-012-CF-00018,112,191
762,ECB-23-02-002-012-CF-00056,97,96,INGENIERA EN SISTEMAS,,,,,ECB-04-03-002-041-CF-00011,113,189
#N/A,ECB-39-02-002-021-S-00025,76,75,AUXILIAR DE INTENDENCIA,,,,,ECB-04-03-002-014-CF-00003,114,186
#N/A,ECB-23-02-003-156-E-00017,110,109,DOCENTE,,,,,ECB-04-03-002-015-CF-00003,115,183
#N/A,ECB-37-02-003-140-E-00003,110,109,DOCENTE,,,,,ECB-04-03-002-015-CF-00005,116,185
#N/A,ECB-08-03-003-142-E-00001,110,109,DOCENTE,,,,,ECB-04-03-002-015-CF-00009,117,184
#N/A,ECB-03-02-003-142-E-00007,110,109,DOCENTE,,,,,ECB-04-03-002-018-CF-00009,118,182
#N/A,ECB-06-02-003-148-E-00005,110,109,DOCENTE,,,,,ECB-04-03-002-019-CF-00008,119,180
#N/A,ECB-35-02-003-140-E-00004,110,109,DOCENTE,,,,,ECB-04-03-002-019-CF-00007,120,179
#N/A,ECB-04-03-002-021-S-00002,89,88,ENCARGADA DE ORDEN,,,,,ECB-04-03-002-019-CF-00009,121,181
#N/A,ECB-06-02-003-157-E-00014,110,109,DOCENTE,,,,,ECB-04-03-002-019-CF-00003,122,177
#N/A,ECB-06-02-003-145-E-00004,110,109,DOCENTE,,,,,ECB-04-03-002-019-CF-00006,123,178
#N/A,ECB-12-02-003-144-E-00004,110,109,DOCENTE,,,,,ECB-04-03-002-019-CF-00011,124,176
#N/A,ECB-06-02-003-144-E-00003,110,109,DOCENTE,,,,,ECB-04-03-002-019-CF-00019,125,175
#N/A,ECB-06-02-003-144-E-00002,110,109,DOCENTE,,,,,ECB-04-03-002-021-S1-00031,126,154
2745,ECB-03-02-002-012-CF-00004,NULL,NULL,NULL,,,,,ECB-04-03-002-021-S1-00001,127,173
311,ECB-08-03-002-012-CF-00001,NULL,NULL,NULL,,,,,ECB-04-03-002-021-S1-00002,128,174
1073,ECB-35-02-002-012-CF-00018,NULL,NULL,NULL,,,,,ECB-04-03-002-021-S1-00032,129,155
487,ECB-13-02-002-015-CF-00005,69,68,AUXILIAR ACADEMICO,,,,,ECB-03-02-002-032-CF-00004,95,126
1873,ECB-99-02-002-015-CF-00010,23,22,ANALISTA ESPECIALIZADO,,,,,ECB-03-02-002-021-S1-00013,84,98
114,ECB-04-03-002-014-CF-00003,79,78,AUXILIAR DE SUBDIRECTOR ACADEMICO,,,,,ECB-04-03-002-022--00001,130,2870
124,ECB-04-03-002-019-CF-00011,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-04-03-002-028-CF-00007,131,151
667,ECB-19-02-002-015-CF-00007,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-04-03-002-031-CF-00003,132,149
1077,ECB-35-02-002-015-CF-00075,80,79,AUXILIAR DE SUBDIRECTORA ACADEMICA,,,,,ECB-04-03-002-031-T0-00001,133,153
2651,ECB-01-03-002-012-CF-00004,110,109,DOCENTE,,,,,ECB-04-03-002-046-CF-00001,134,150
1029,ECB-34-03-002-012-CF-00008,97,96,INGENIERA EN SISTEMAS,,,,,ECB-05-02-002-019-CF-00004,175,222
779,ECB-24-02-002-014-CF-00006,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-04-03-002-037-CF-00017,135,141
#N/A,ECB-13-02-002-047-T-00009,98,97,RESPONSABLE DE BIBLIOTECA,,,,,ECB-07-02-002-012-CF-00040,281,348
125,ECB-04-03-002-019-CF-00019,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-04-03-002-037-CF-00025,136,142
1170,ECB-37-02-002-012-CF-00037,96,95,INGENIERO EN SISTEMAS,,,,,ECB-05-02-002-019-CF-00002,176,221
#N/A,ECB-99-02-003-146-E-00011,32,31,AUXILIAR ADMINISTRATIVO,,,,,ECB-04-03-002-037-CF-00028,137,143
324,ECB-08-03-002-019-CF-00044,32,31,AUXILIAR ADMINISTRATIVO,,,,,ECB-04-03-002-032-CF-00001,138,148
#N/A,ECB-99-02-003-150-E-00067,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-05-02-002-019-CF-00011,177,224
1559,ECB-56-02-002-012-CF-00047,96,95,INGENIERO EN SISTEMAS,,,,,ECB-04-03-002-032-CF-00011,139,147
2519,ECB-39-02-001-007-CF-00010,59,58,DIRECTORA DE PLANTEL,,,,,ECB-04-03-002-047-T0-00015,140,144
2525,ECB-41-02-001-006-CF-00013,59,58,DIRECTORA DE PLANTEL,,,,,ECB-04-03-002-036-S0-00017,141,156
622,ECB-18-03-002-015-CF-00010,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-04-03-002-036-S0-00002,142,145
1835,ECB-99-02-002-014-CF-00064,22,21,ANALISTA ESPECIALIZADA,,,,,ECB-05-02-002-021-S1-00062,179,254
945,ECB-31-02-002-015-CF-00014,70,69,AUXILIAR ACADEMICA,,,,,ECB-04-03-002-036-S0-00005,143,146
#N/A,ECB-35-02-003-148-E-00020,110,109,DOCENTE,,,,,ECB-04-03-003-144-EH-00009,144,159
#N/A,ECB-64-02-003-148-E-00036,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-05-02-002-021-S1-00053,180,255
1837,ECB-99-02-002-014-CF-00038,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-04-03-003-144-EH-00002,145,161
1291,ECB-42-03-002-019-CF-00037,70,69,AUXILIAR ACADEMICA,,,,,ECB-04-03-003-150-EH-00003,146,157
#N/A,ECB-04-03-002-021-S-00001,89,88,ENCARGADA DE ORDEN,,,,,ECB-05-02-002-021-S1-00005,181,250
974,ECB-32-02-002-014-CF-00021,102,101,RESPONSABLE DE SERVICIOS ESCOLARES,,,,,ECB-04-03-003-150-EH-00006,147,158
#N/A,ECB-03-02-002-047-T-00010,86,85,BIBLIOTECARIA,,,,,ECB-04-03-003-156-EH-00023,148,170
778,ECB-24-02-002-012-CF-00045,92,91,ENCARGADO DEL CENTRO DE COMPUTO,,,,,ECB-05-02-002-021-S1-00008,182,248
2420,ECB-03-02-001-009-CF-00002,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-04-03-003-156-EH-00002,149,171
2480,ECB-24-02-002-015-CF-00097,66,65,RESPONSABLE ACADEMICA,,,,,ECB-04-03-003-151-EH-00006,150,167
2488,ECB-27-02-002-014-CF-00091,65,64,RESPONSABLE ACADEMICO,,,,,ECB-05-02-002-021-S1-00014,183,247
2489,ECB-27-02-002-015-CF-00092,67,66,RESPONSABLE ADMINISTRATIVO,,,,,ECB-04-03-003-151-EH-00002,151,169
2470,ECB-21-03-001-009-CF-00005,63,62,SUBDIRECTOR ADMINISTRATIVO,,,,,ECB-04-03-003-151-EH-00001,152,168
2532,ECB-43-03-001-008-CF-00011,63,62,SUBDIRECTOR ADMINISTRATIVO,,,,,ECB-05-02-002-021-S1-00004,184,249
2518,ECB-38-02-002-015-CF-00147,68,67,RESPONSABLE ADMINISTRATIVA,,,,,ECB-04-03-003-157-EH-00001,153,162
2526,ECB-41-02-002-015-CF-00085,68,67,RESPONSABLE ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00008,154,205
2520,ECB-39-02-002-015-CF-00087,66,65,RESPONSABLE ACADEMICA,,,,,ECB-05-02-002-028-CF-00005,185,256
2521,ECB-39-02-002-015-CF-00086,68,67,RESPONSABLE ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00004,155,201
2414,ECB-01-03-001-009-CF-00001,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00007,156,204
#N/A,ECB-02-02-002-018-CF-00017,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-05-02-002-031-CF-00010,186,257
2417,ECB-02-02-001-009-CF-00001,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00013,157,207
2477,ECB-23-02-002-041-CF-00044,68,67,RESPONSABLE ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00006,158,203
2474,ECB-22-02-001-009-CF-00007,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-05-02-002-046-CF-00011,187,259
2544,ECB-47-02-002-015-CF-00083,68,67,RESPONSABLE ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00009,159,206
2548,ECB-49-02-002-041-CF-00046,67,66,RESPONSABLE ADMINISTRATIVO,,,,,ECB-04-03-003-159-EH-00020,160,200
2447,ECB-13-02-001-009-CF-00023,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-05-02-002-037-S1-00023,188,265
411,ECB-11-02-002-012-CF-00015,97,96,INGENIERA EN SISTEMAS,,,,,ECB-04-03-003-159-EH-00002,161,166
623,ECB-18-03-002-015-CF-00007,31,30,AUXILIAR ADMINISTRATIVA,,,,,ECB-04-03-003-159-EH-00001,162,165
#N/A,ECB-31-02-002-047-T-00005,85,84,BIBLIOTECARIO,,,,,ECB-05-02-002-037-S1-00006,189,263
1088,ECB-35-02-002-018-CF-00007,76,75,AUXILIAR DE INTENDENCIA,,,,,ECB-04-03-003-160-EH-00004,163,199
971,ECB-32-02-002-041-CF-00016,32,31,AUXILIAR ADMINISTRATIVO,,,,,ECB-04-03-003-149-EH-00002,164,196
2433,ECB-08-03-001-008-CF-00001,64,63,SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-05-02-002-037-S1-00015,190,264
#N/A,ECB-99-02-003-142-E-00020,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-04-03-003-149-EH-00003,165,197
1764,ECB-99-02-002-012-CF-00003,20,19,ANALISTA EDUCATIVA,,,,,ECB-04-03-003-155-EH-00001,166,195
2580,ECB-61-03-001-007-CF-00001,58,57,DIRECTOR DE PLANTEL,,,,,ECB-05-02-002-032-CF-00002,191,262
398,ECB-10-02-002-028-CF-00002,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-05-02-002-012-CF-00001,167,245
1909,ECB-99-02-002-015-CF-00030,14,13,ANALISTA ADMINISTRATIVO,,,,,ECB-05-02-002-041-CF-00001,168,246
#N/A,ECB-35-02-002-021-S-00016,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-05-02-002-047-T0-00035,192,261
1083,ECB-35-02-002-015-CF-00079,86,85,BIBLIOTECARIA,,,,,ECB-05-02-002-015-CF-00004,169,274
484,ECB-13-02-002-012-CF-00006,96,95,INGENIERO EN SISTEMAS,,,,,ECB-05-02-002-015-CF-00001,170,273
167,ECB-05-02-002-012-CF-00001,96,95,INGENIERO EN SISTEMAS,,,,,ECB-05-02-002-047-T0-00022,193,260
2492,ECB-28-02-001-008-CF-00003,63,62,SUBDIRECTOR ADMINISTRATIVO,,,,,ECB-05-02-002-015-CF-00006,171,275
1561,ECB-56-02-002-019-CF-00051,31,30,AUXILIAR ADMINISTRATIVA,,,,,ECB-05-02-002-018-CF-00004,172,219
1942,ECB-99-02-002-019-CF-00132,20,19,ANALISTA EDUCATIVA,,,,,ECB-05-02-002-036-CF-00032,194,276
#N/A,ECB-17-02-002-021-S-00035,70,69,AUXILIAR ACADEMICA,,,,,ECB-05-02-002-019-CF-00010,178,223
#N/A,ECB-35-02-002-021-S-00021,88,87,ENCARGADO DE ORDEN,,,,,ECB-05-02-002-019-CF-00001,174,220
1095,ECB-35-02-002-028-CF-00016,106,105,SECRETARIA DE SUBDIRECCION DE PLANTEL,,,,,ECB-05-02-002-036-S0-00016,195,267
2542,ECB-46-02-001-009-CF-00014,62,61,SUBDIRECTORA ACADEMICA,,,,,ECB-05-02-002-036-S0-00015,196,266
1864,ECB-99-02-002-015-CF-00176,15,14,ANALISTA CONTABLE,,,,,ECB-05-02-002-036-S0-00021,197,268
1540,ECB-55-02-002-019-CF-00100,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-05-02-003-140-EH-00006,198,269
1080,ECB-35-02-002-015-CF-00023,83,82,AUXILIAR DEL AREA ADMINISTRATIVA,,,,,ECB-05-02-003-142-EH-00001,199,270
2425,ECB-05-02-001-008-CF-00001,63,62,SUBDIRECTOR ADMINISTRATIVO,,,,,ECB-05-02-003-148-EH-00026,200,208
2583,ECB-62-03-001-007-CF-00004,58,57,DIRECTOR DE PLANTEL,,,,,ECB-05-02-003-148-EH-00003,201,271
170,ECB-05-02-002-015-CF-00001,70,69,AUXILIAR ACADEMICA,,,,,ECB-05-02-003-154-EH-00002,202,210
977,ECB-32-02-002-015-CF-00027,98,97,RESPONSABLE DE BIBLIOTECA,,,,,ECB-05-02-003-154-EH-00003,203,211
1175,ECB-37-02-002-019-CF-00099,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-05-02-003-144-EH-00005,204,209
